Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Project: Primary PI: Full Name,Project: Other Principal Investigators,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date
CEP-19-10002: Improving Management of Small Firms in Kenya,Centre for Economic Policy Research (CEPR),Grant Award,Evaluating a Management Intervention in East Africa,Tavneet Suri,PI: John van Reenen,10/2/2017,1,1,Kenya,0,Allocation,2/26/2019
mTika_Childhood Immunization in Bangladesh,National Institutes of Health (NIH),Grant Proposal,mTika_Childhood Immunization in Bangladesh,Reshmaan Hussam,,8/31/2017,0,1,Bangladesh,0,,9/3/2017
BBOXX Energy credit,Center for Effective Global Action (CEGA),Grant Proposal,BBOXX Energy credit,Megan Lang,PI: Jeremy Magruder,9/15/2017,0,1,Rwanda,0,,9/15/2017
Uganda Mob Justice application for J-PAL C&V Initiative,Massachusetts Institute of Technology (MIT),Grant Proposal,Mob justice in Owino market,Donald Green,"PI: Anna Maria Wilke 
PhD PI: Jasper Cooper",9/15/2017,0,1,Uganda,0,,9/15/2017
BBVAB-18-20002 - Supplemental Support to the Mo' Kash Digital Credit Study (Uganda),"Banco Bilbao Vizcaya Argentaria, S.A.",Grant Award,Mo-Kash Evaluation,Alfredo Burlando,"PI: Silvia Prina , Jessica Goldberg",7/31/2018,1,1,Uganda,0,,7/31/2018
UCB0020 - Understanding the Impact the Mo-Kash Digital Credit Intervention (Uganda),"University of California, Berkeley",Grant Award,Mo-Kash Evaluation,Alfredo Burlando,"PI: Silvia Prina , Jessica Goldberg",9/15/2017,1,1,Uganda,0,,1/18/2018
UCB0020-X1: Mo Kash Digital Credit Subaward (Uganda),"University of California, Berkeley",Subaward,Mo-Kash Evaluation,Alfredo Burlando,"PI: Silvia Prina , Jessica Goldberg",12/5/2019,1,1,Uganda,0,,12/5/2019
CEGA DCO Proposal for Digital Credit Study with Lineru in Colombia,"University of California, Berkeley",Grant Proposal,Digital Credit Study with Lineru in Colombia,Jonathan Zinman,"PI: Joshua Kim , Hunt Allcott , Dmitry Taubinsky",9/15/2017,0,1,Colombia,0,,9/15/2017
Reducing Default and Improving Resilience on Digital Credit (Kenya),"University of California, Berkeley",Grant Proposal,REDUCING DEFAULT AND IMPROVING RESILIENCE ON DIGITAL CREDIT,Tavneet Suri,,9/15/2017,1,1,Kenya,0,,9/15/2017
GI Proposal for SECOP II,Massachusetts Institute of Technology (MIT),Grant Proposal,The Efficiency and Transparency Effects of E-Procurement Adoption,,PhD PI: Natalia Garbiras,3/16/2018,0,1,Colombia,0,,3/16/2018
The Impact of Transparency and Monitoring on Distributive Politics,Massachusetts Institute of Technology (MIT),Grant Proposal,Mzalendo,Fredrik M Sjoberg,"PI: Peter John , Leonard Wantchekon",9/15/2017,0,1,Kenya,0,,9/15/2017
EDI Round 2: Impact of Transparency and Monitoring on Distributive Politics (Kenya),Center for Effective Global Action (CEGA),Grant Proposal,Mzalendo,Fredrik M Sjoberg,"PI: Peter John , Leonard Wantchekon",11/14/2017,0,1,Kenya,0,,11/15/2017
SLWM Household Midline Survey,World Bank,Grant Proposal,Midline for SLWMP,,,4/30/2018,0,1,Ghana,0,,4/30/2018
Microfinance-Plus Impact Evaluation,Opportunity International (OI),Grant Proposal,Microfinance Plus,Nathan Fiala,,1/25/2018,0,1,Ghana,0,,12/8/2019
IGC9320 The Role of Mobile-Based Trade Credit on Business Development (Kenya),International Growth Centre (IGC),Grant Award,The Role of Mobile-Based Trade Credit on Business Development,Tavneet Suri,PI: Antoinette Schoar,3/23/2018,1,1,Kenya,0,,8/6/2018
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Nigeria Herder Farmer Dialogues,Oeindrila Dube,"PI: Soeren Henn , James Robinson",9/28/2015,1,1,Nigeria,0,Internal Subaward,4/9/2018
MIT-20-20033: Farmers Herders to CVI (Nigeria),Massachusetts Institute of Technology (MIT),Grant Award,Nigeria Herder Farmer Dialogues,Oeindrila Dube,"PI: Soeren Henn , James Robinson",9/20/2019,1,1,Nigeria,0,Allocation,2/6/2020
FFID-22-10006: FID for Nigeria Herder Farmer Dialogues (Nigeria),Fund for Innovation in Development (FID),Grant Award,Nigeria Herder Farmer Dialogues,Oeindrila Dube,"PI: Soeren Henn , James Robinson",6/1/2021,1,1,Nigeria,0,Allocation,3/28/2022
Farmers Herders to CVI (Nigeria) Top Up,Massachusetts Institute of Technology (MIT),Grant Proposal,Nigeria Herder Farmer Dialogues,Oeindrila Dube,"PI: Soeren Henn , James Robinson",5/19/2021,0,1,Nigeria,0,,5/21/2021
Peace and Recovery (P&R) Round VI (Winter 2020) - Herder Farmer Dialogues Project,Massachusetts Institute of Technology (MIT),Grant Proposal,Nigeria Herder Farmer Dialogues,Oeindrila Dube,"PI: Soeren Henn , James Robinson",11/23/2020,0,1,Nigeria,0,,11/23/2020
MIT-20-20033: Farmers Herders to CVI (Nigeria),Massachusetts Institute of Technology (MIT),Grant Award,Nigeria Herder Farmer Dialogues,Oeindrila Dube,"PI: Soeren Henn , James Robinson",9/20/2019,1,1,Nigeria,0,External Subaward,2/6/2020
FFID-22-10006: FID for Nigeria Herder Farmer Dialogues (Nigeria),Fund for Innovation in Development (FID),Grant Award,Nigeria Herder Farmer Dialogues,Oeindrila Dube,"PI: Soeren Henn , James Robinson",6/1/2021,1,1,Nigeria,0,External Subaward,3/28/2022
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Countering Violent Extremism in Burkina Faso,William Nomikos,"PI: Niloufer Siddiqui , Allison Grossman",9/28/2015,1,1,Francophone West Africa,0,Internal Subaward,4/9/2018
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Countering Violent Extremism in Burkina Faso,William Nomikos,"PI: Niloufer Siddiqui , Allison Grossman",9/28/2015,1,1,Francophone West Africa,0,Internal Subaward,4/9/2018
Eduqmais Follow Up 2020,University of Zurich,Grant Proposal,Eduq+,Sharon Wolf,,11/30/2018,0,1,Francophone West Africa,0,,11/30/2018
UZH0006: Eduqmais - Harnessing differences to optimize learning - Cote d?Ivoire,University of Zurich,Grant Award,Eduq+,Sharon Wolf,,3/28/2018,1,1,Francophone West Africa,0,,8/27/2018
UZH-19-10004 Parenting add-on (Cote d'Ivoire),University of Zurich,Grant Award,Eduq+,Sharon Wolf,,9/3/2019,1,1,Francophone West Africa,0,,10/11/2019
UK-DFID Trust Fund Call for Proposals Building the evidence on protracted forced displacement,World Bank,Grant Proposal,Microenterprise Support to Assimilate Refugees in Uganda,Thomas Ginn,,12/31/2018,0,1,Uganda,1,,12/31/2018
World Bank Microenterprise Support to Assimilate Refugees in Uganda,World Bank,Grant Proposal,Microenterprise Support to Assimilate Refugees in Uganda,Thomas Ginn,,5/28/2019,0,1,Uganda,1,,5/27/2019
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Microenterprise Support to Assimilate Refugees in Uganda,Thomas Ginn,,9/28/2015,1,1,Uganda,1,External Subaward,4/9/2018
OXU-19-10001: Exploring & Strategizing Factory Best Practices (Bangladesh),Oxford University,Grant Award,Small N Exploring & Strategizing Factory Best Practices,Christopher Woodruff,,1/24/2019,1,1,Bangladesh,0,,5/2/2019
OXU-20-10004: Small N Exploring & Strategizing Factory Best Practices (Bangladesh),Oxford University,Grant Award,Small N Exploring & Strategizing Factory Best Practices,Christopher Woodruff,,6/11/2020,1,1,Bangladesh,0,,7/10/2020
OXU-19-10003  Small N Exploring & Strategizing Factory Best Practices (Bangladesh),Oxford University,Grant Award,Small N Exploring & Strategizing Factory Best Practices,Christopher Woodruff,,10/10/2019,1,1,Bangladesh,0,,2/4/2020
USAID Proposal for CNFA project,United States Agency for International Development (USAID),Grant Proposal,ARC program,Harounan Kazianga,"PI: Eugénie Maïga , Andrew Dillon",6/25/2018,0,1,Francophone West Africa,0,,6/26/2018
PAPSE RA proposal to WB,World Bank,Grant Proposal,PAPSE,Bastien Michel,"PI: Richard Akresh , Rebecca Thornton",11/21/2018,0,1,Francophone West Africa,0,,11/21/2018
Census & Midline PAPSE,World Bank,Grant Proposal,PAPSE,Bastien Michel,"PI: Richard Akresh , Rebecca Thornton",10/30/2019,0,1,Francophone West Africa,0,,10/31/2019
IGI Midline PAPSE,Massachusetts Institute of Technology (MIT),Grant Proposal,PAPSE,Bastien Michel,"PI: Richard Akresh , Rebecca Thornton",5/22/2020,0,1,Francophone West Africa,0,,5/22/2020
Collecte de fin d'année,"Ministry of Education, Ivory Coast",Grant Proposal,PAPSE,Bastien Michel,"PI: Richard Akresh , Rebecca Thornton",2/22/2021,0,1,Francophone West Africa,0,,2/23/2021
PBED-18-10001: PBEd STEP UP Monitoring Survey (Philippines),Philippine Business for Education,Grant Award,PBEd STEP UP Monitoring Survey,,,3/31/2018,1,1,Philippines,0,,10/24/2018
ELM-19-10001: Full Phase 1 ECD M&E Support in Uganda (Uganda),The ELMA Philanthropies,Grant Award,ECD M&E in Uganda,,,11/20/2018,1,1,Uganda,0,Allocation,1/7/2019
EGF-19-10002 - Lively Minds M&E support for ELMA community of practice (Uganda),The Echidna Giving Fund,Grant Award,ECD M&E in Uganda,,,4/12/2019,1,1,Uganda,0,,4/12/2019
ELM0001 - ECD M&E support in Uganda,The ELMA Philanthropies,Grant Award,ECD M&E in Uganda,,,7/23/2018,1,1,Uganda,0,Allocation,7/23/2018
Campylobacter spp. Transmission Dynamics in Low- and Middle-Income Countries,Gates Foundation,Grant Proposal,Assess the transmission pathways of Campylobacter infection in children under 5,Amy Pickering,,4/24/2018,0,1,Kenya,0,,4/20/2018
IGL0001 - Independent Verifier of Community Health Results-based Financing (Uganda),Instiglio,Grant Award,Independent Verifier of Community Health Results-based Financing,,,3/14/2018,1,1,Uganda,0,Allocation,5/19/2018
Accelerating Climate Action: Social Equity and Empowerment of Women and Girls,International Development Research Centre (IDRC),Grant Proposal,Portfolios of the Vulnerable,Matthew Bird,"PI: Luisa Feline Freier , Ayesha Siddiqi",4/23/2018,0,1,Colombia,0,,4/23/2018
Cross border small trader survey in West Africa,World Bank,Grant Proposal,Cross border small trader survey in West Africa,David Atkin,"PI: Jenny Aker , Eugénie Maïga",9/20/2018,0,1,Francophone West Africa,0,,9/20/2018
IGL 6th call: Fasbagré (Burkina Faso),Nesta,Grant Proposal,FASBagré,Michael Grimm,"PI: Sidiki Soubeiga , Michael Weber",10/8/2018,0,1,Francophone West Africa,0,,10/29/2018
MDE-18-10000 FASBagré MEBF-WB Burkina Faso,Maison de l'Entreprise du Burkina Faso,Grant Award,FASBagré,Michael Grimm,"PI: Sidiki Soubeiga , Michael Weber",8/10/2018,1,1,Francophone West Africa,0,,9/18/2018
"MDE-20-10001 FASBagré Midline, Burkina Faso",Maison de l'Entreprise du Burkina Faso,Grant Award,FASBagré,Michael Grimm,"PI: Sidiki Soubeiga , Michael Weber",4/17/2020,1,1,Francophone West Africa,0,,4/17/2020
"WBK-21-20134, Endline Impact Evaluation of Matching and Cash Grants to MSMEs in the Burkina Fasos Bagré Growth Pole Area",World Bank,Grant Award,FASBagré,Michael Grimm,"PI: Sidiki Soubeiga , Michael Weber",8/6/2021,1,1,Francophone West Africa,0,Allocation,8/6/2021
"BMG7989 Financial Inclusion Tracker Uganda, Tanzania, Pakistan",Gates Foundation,Grant Award,The Role of the Internet in Economic and Financial Lives Especially of Women,Tavneet Suri,,9/11/2015,1,1,Kenya,0,,11/13/2015
Full study land project # 1264966,World Bank,Grant Proposal,Land intervention,Alexandra Hartman,"PI: Aletheia Donald , Eliana La Ferrara , Markus Goldstein , Joao Montalvao , Michael O?Sullivan",12/24/2019,0,1,Francophone West Africa,0,,12/27/2019
WBK-19-20021 Pilot 3 for Land Intervention,World Bank,Grant Award,Land intervention,Alexandra Hartman,"PI: Aletheia Donald , Eliana La Ferrara , Markus Goldstein , Joao Montalvao , Michael O?Sullivan",7/18/2019,1,1,Francophone West Africa,0,,7/18/2019
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Pre-pilot of the CEGAP's $1 Smartphone Project,Jessica Goldberg,PI: Lore Vandewalle,4/9/2015,1,1,Bangladesh,0,Internal Subaward,6/4/2015
Save the Children proposal,Save the Children International (SCI),Grant Proposal,Schools for Change,Todd Pugatch,,6/1/2018,0,1,Rwanda,0,,5/16/2018
IGC-18-20002: Quality Upgrading in Myanmar's Rice Sector (Myanmar),International Growth Centre (IGC),Grant Award,Quality Upgrading in Myanmar's Rice Sector,Rocco Macchiavello,"PI: Meredith Startz , David Atkin , Amit Khandelwal",10/30/2018,1,1,Myanmar,0,,6/10/2019
NSF Proposal for Income Volatility & Psychological wellbeing,National Science Foundation (NSF),Grant Proposal,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",3/18/2018,0,1,Ghana,0,,5/14/2018
USC-23-10004: NSF Volatility in Income(Ghana),University of Southern California,Grant Award,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",8/10/2022,1,1,Ghana,0,Allocation,11/3/2023
NSF Income Volatility & Psychological wellbeing,National Science Foundation (NSF),Grant Proposal,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",9/15/2021,0,1,Ghana,0,,9/15/2021
NIH Income Volatility & Psychological wellbeing,National Institutes of Health (NIH),Grant Proposal,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",9/15/2021,0,1,Ghana,0,,9/15/2021
WBK-23-20161: World Bank VIP Pilot (Ghana),World Bank,Grant Award,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",3/30/2023,1,1,Ghana,0,External Subaward,3/30/2023
HAREF-24-10001: Holman volatility in income (Ghana),Holman Africa Research and Engagement Fund,Grant Award,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",5/1/2024,1,1,Ghana,0,Allocation,7/3/2024
WBK-23-20161: World Bank VIP Pilot (Ghana),World Bank,Grant Award,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",3/30/2023,1,1,Ghana,0,Allocation,3/30/2023
PEN-23-10010: Upenn VIP Pilot funding (Ghana),University of Pennsylvania,Grant Award,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",3/9/2023,1,1,Ghana,0,Allocation,3/28/2023
COR-25-10001: NIH #1 Volatility in Income(Ghana),Cornell University,Grant Award,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",5/10/2024,1,1,Ghana,0,Allocation,5/20/2025
VIP 3 - Ghana,National Institutes of Health (NIH),Grant Proposal,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",5/10/2024,0,1,Ghana,0,Allocation,5/10/2024
COR-25-10001: NIH #1 Volatility in Income(Ghana),Cornell University,Grant Award,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",5/10/2024,1,1,Ghana,0,External Subaward,5/20/2025
WBK-25-20173: World Bank VIP Main Study Top-up(Ghana),World Bank,Grant Award,Income Volatility & Psychological wellbeing,Heather Schofield,"PI: Leandro Carvalho , Vincent Somville , Damien de Walque",3/24/2025,1,1,Ghana,0,Allocation,4/23/2025
"BOS-19-10002 NIH R01 YRI Spillover study, Sierra Leone",Boston College,Grant Award,Youth FORWARD - Diffusion/Spillover,Alethea Desrosiers,"PI: Theresa Betancourt , Agha Ali Akram",4/1/2018,1,1,Sierra Leone,0,,7/26/2019
New Proposal for Early Child Development in Southern Province,United States Agency for International Development (USAID),Grant Proposal,Early Child Development in Southern Province,Peter C Rockers,"PI: Gunther Fink , Nancy Scott",5/11/2018,0,1,Zambia,0,,5/11/2018
FSDZ-18-10001: Comic Relief-FIT Project (Zambia),Zambian Financial Sector Deepening Limited (FSD Zambia),Grant Award,FIT - Financial inclusion through traditional leaders,Dean Karlan,"PI: Bilal Zia , Alfredo Burlando , Jessica Goldberg",9/12/2018,1,1,Zambia,0,Allocation,3/25/2019
New Proposal for Philippines National Health Expenditure Survey,Palladium International Limited,Grant Proposal,Philippines National Health Expenditure Survey,,,5/23/2018,0,1,Philippines,0,,5/23/2018
VIT0002 Vitol Foundation strategy & M&E advisory,Vitol Foundation,Grant Award,Vitol Foundation strategy & M&E advisory,,,5/28/2018,1,1,United States,0,,7/3/2018
UPGP Follow up Survey with BRAC & BIGD,Institute for the Study of Labor (IZA),Grant Proposal,Testing new BRAC TUP Model,Mushfiq Mobarak,"PI: Nathanael Goldberg , Dean Karlan , Christopher Udry , Jessica Goldberg",11/11/2019,0,1,Bangladesh,0,,11/11/2019
BRACB-18-10001: BRAC funding for Testing new BRAC TUP Model (Bangladesh),BRAC Bangladesh,Grant Award,Testing new BRAC TUP Model,Mushfiq Mobarak,"PI: Nathanael Goldberg , Dean Karlan , Christopher Udry , Jessica Goldberg",7/18/2019,1,1,Bangladesh,0,,7/18/2019
BRACB-21-10002: TUP Model Endline (Bangladesh),BRAC Bangladesh,Grant Award,Testing new BRAC TUP Model,Mushfiq Mobarak,"PI: Nathanael Goldberg , Dean Karlan , Christopher Udry , Jessica Goldberg",9/1/2021,1,1,Bangladesh,0,External Subaward,6/21/2022
BRACB-21-10002: TUP Model Endline (Bangladesh),BRAC Bangladesh,Grant Award,Testing new BRAC TUP Model,Mushfiq Mobarak,"PI: Nathanael Goldberg , Dean Karlan , Christopher Udry , Jessica Goldberg",9/1/2021,1,1,Bangladesh,0,Allocation,6/21/2022
Dubai Cares Proposal for DepEd Inclusive Programs,Dubai Cares,Grant Proposal,DepEd Inclusive Programs,,,8/3/2018,0,1,Philippines,0,,8/3/2018
SIEF Nimble Evaluation Proposal for Strategic Purchasing and Community-Health Agents (Myanmar),World Bank,Grant Proposal,Strategic Purchasing and Community-Health Agents,Paul Gertler,,5/30/2018,0,1,Myanmar,0,,5/30/2018
Oxford University Funds,Oxford University,Grant Proposal,Governance Education,Robin Harding,,5/17/2018,0,1,Ghana,0,,5/24/2018
UCB-19-20008 Weiss-Hungry Seasons (Zambia),"University of California, Berkeley",Grant Award,Hungry Seasons in Zambia,Supreet Kaur,"PI: Ned Augenblick , Kelsey Jack , Nicholas Swanson",11/30/2018,1,1,Zambia,0,,1/2/2020
NBE-20-10001 - Hungry Seasons NSF-funded-Fieldwork (Zambia),National Bureau of Economic Research (NBER),Grant Award,Hungry Seasons in Zambia,Supreet Kaur,"PI: Ned Augenblick , Kelsey Jack , Nicholas Swanson",7/18/2018,1,1,Zambia,0,Allocation,5/13/2020
IGC-19-20009 - SPF Hungry Seasons (Zambia),International Growth Centre (IGC),Grant Award,Hungry Seasons in Zambia,Supreet Kaur,"PI: Ned Augenblick , Kelsey Jack , Nicholas Swanson",6/28/2019,1,1,Zambia,0,,8/22/2019
DIV_UCB-20-20014 Hungry Seasons Scaleup in Zambia - MRR Support,"University of California, Berkeley",Grant Award,Hungry Seasons in Zambia,Supreet Kaur,"PI: Ned Augenblick , Kelsey Jack , Nicholas Swanson",5/22/2020,1,1,Zambia,0,Allocation,11/16/2020
UCB-21-20018 - UC Berkeley for Hungry Seasons DIV Funding (Zambia),"University of California, Berkeley",Grant Award,Hungry Seasons in Zambia,Supreet Kaur,"PI: Ned Augenblick , Kelsey Jack , Nicholas Swanson",8/19/2020,1,1,Zambia,0,Allocation,5/4/2021
OSF-18-10001 - Safer Remittances for Migrants in Colombia and PGR Soft Skills in Mexico (Colombia and Mexico),Open Society Foundations,Grant Award,PGR Soft Skills and Recidivism,,"PI: Laura Chioda , Paul Gertler",6/21/2018,1,1,Mexico,0,Allocation,11/7/2018
SA Stichting-20-10001 - Sint Antonius for Growth Charts (Zambia),SAS-P Philanthropy,Grant Award,Growth charts scale-up (ZamCharts),Gunther Fink,"PI: Doug Parkerson , Peter C Rockers",5/31/2019,1,1,Zambia,0,Allocation,1/17/2020
WEL3338: Evidence Consolidation # 13338 (Global),Wellspring Philanthropic Fund,Grant Award,Growth charts scale-up (ZamCharts),Gunther Fink,"PI: Doug Parkerson , Peter C Rockers",5/15/2018,1,1,Zambia,0,Allocation,7/26/2018
SA Stichting-20-10001 - Sint Antonius for Growth Charts (Zambia),SAS-P Philanthropy,Grant Award,Growth charts scale-up (ZamCharts),Gunther Fink,"PI: Doug Parkerson , Peter C Rockers",5/31/2019,1,1,Zambia,0,Allocation,1/17/2020
Nestle Foundation for Growth Charts,University of Zambia,Grant Proposal,Growth charts scale-up (ZamCharts),Gunther Fink,"PI: Doug Parkerson , Peter C Rockers",4/10/2021,0,1,Zambia,0,,4/10/2021
BU for growth charts,Boston University,Grant Proposal,Growth charts scale-up (ZamCharts),Gunther Fink,"PI: Doug Parkerson , Peter C Rockers",9/30/2020,0,1,Zambia,0,,9/30/2020
SWI-22-10002: Services to be provided to Swiss TPH for ZamCharts Mental Health subproject (Zambia),Swiss Tropical and Public Health Institute (Swiss TPH),Grant Award,Growth charts scale-up (ZamCharts),Gunther Fink,"PI: Doug Parkerson , Peter C Rockers",12/31/2022,1,1,Zambia,0,Allocation,12/6/2022
SA Stichting-20-10001 - Sint Antonius for Growth Charts (Zambia),SAS-P Philanthropy,Grant Award,Growth charts scale-up (ZamCharts),Gunther Fink,"PI: Doug Parkerson , Peter C Rockers",5/31/2019,1,1,Zambia,0,Allocation,1/17/2020
BBOXX energy credits Weiss proposal,"University of California, Berkeley",Grant Proposal,BBOXX Energy experiments,Megan Lang,PI: Jeremy Magruder,10/2/2019,0,1,Rwanda,0,,10/2/2019
IGC-18-20001 - Support to the BBOXX Incentives Project (Rwanda),International Growth Centre (IGC),Grant Award,BBOXX Energy experiments,Megan Lang,PI: Jeremy Magruder,6/29/2018,1,1,Rwanda,0,,6/20/2018
UCB-18-10000 Cash out DIL (Rwanda),"University of California, Berkeley",Grant Award,Mobile Money Cash Out,Jonathan Robinson,"PI: Shilpa Aggarwal , Susan Godlonton",8/31/2018,1,1,Rwanda,0,,2/27/2020
NIH Exploratory/Developmental Research Grant Award (R21) Earth Enable RCT,"University of California, Berkeley",Grant Proposal,EarthEnable RCT,Joshua Gruber,PI: Paul Gertler,10/16/2019,0,1,Uganda,0,,10/16/2019
APO0003: AportaLab - Early Childhood Development (Peru),Aporta Desarrollo Sostenible,Grant Award,AportaLab - Early Childhood Development,Orazio Attanasio,,2/5/2018,1,1,Peru,0,,9/6/2018
New Proposal for Child labor in the drug market in Peru,United States Department of Labor,Grant Proposal,Child labor in the drug market in Peru,Christopher Neilson,,6/4/2018,0,1,Peru,0,,6/4/2018
New Proposal for Assessment of Kindergarten Services,UNICEF Philippines,Grant Proposal,Assessment of Kindergarten Services,,,6/22/2018,0,1,Philippines,0,,6/22/2018
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Mystery Shopping - Uganda,Xavier Gine,"PI: Rebecca Rouse , Joeri Smits",4/9/2015,1,1,Uganda,0,Internal Subaward,6/4/2015
FSDA-19-10001 Mystery Shopping (Uganda),FSD Africa,Grant Award,Mystery Shopping - Uganda,Xavier Gine,"PI: Rebecca Rouse , Joeri Smits",7/26/2018,1,1,Uganda,0,,4/1/2019
Providing the optimal coaching scheme for the adoption of the best teaching practices,World Bank,Grant Proposal,Providing the optimal coaching scheme for the adoption of the best teaching prac,Olga Namen,,5/30/2018,0,1,Colombia,0,,5/30/2018
Right-fit monitoring and evaluation system for school principals,World Bank,Grant Proposal,Right-fit monitoring and evaluation system for school principals,Olga Namen,,5/30/2018,0,1,Colombia,0,,5/30/2018
Does parental monitoring increase take-up of a school dropout prevention program?,World Bank,Grant Proposal,Does parental monitoring increase take-up of a school dropout prevention program,Olga Namen,,5/30/2018,0,1,Colombia,0,,5/30/2018
WBK-20-20036: Impact Evaluation of Nimble Messaging to Improve Early Child Development in Ecuador,World Bank,Grant Award,Early Childhood Development in Ecuador (ECDE),Megan Rounseville,,5/30/2018,1,1,Colombia,0,Allocation,2/12/2020
IGC1422: eMutation Land (Bangladesh),International Growth Centre (IGC),Grant Award,eMutation_Land_Bangladesh,Martin Mattsson,,3/15/2018,1,1,Bangladesh,0,,2/4/2019
HAR-19-10002: SolShare Bangladesh (Bangladesh),Harvard University,Grant Award,SolShare Bangladesh,Namrata Kala,,2/18/2019,1,1,Bangladesh,0,,10/25/2019
IGC-18-20007: SolShare Bangladesh (Bangladesh),International Growth Centre (IGC),Grant Award,SolShare Bangladesh,Namrata Kala,,7/18/2018,1,1,Bangladesh,0,,10/25/2018
New Proposal for SolShare Bangladesh,Global Innovation Fund,Grant Proposal,SolShare Bangladesh,Namrata Kala,,3/15/2018,0,1,Bangladesh,0,,6/24/2018
Research on Improving Systems of Education (RISE) Baseline 2018,Georgetown University,Grant Proposal,RISE Baseline,,,5/4/2018,0,1,Tanzania,0,,5/4/2018
GCF LORTA Stage 1,Green Climate Fund (UNFCCC),Grant Proposal,GCF LORTA Stage 1,,,6/18/2018,0,1,,0,,6/18/2018
MRC LSHTM Grant Application,Medical Research Council,Grant Proposal,LSHTM-LSE Clinic Study,Mylene Lagarde,PI: Timothy Powell-Jackson,6/4/2018,0,1,Tanzania,0,,6/4/2018
The Unique and Combined Impacts of school-based and caregiver SEL programs in an emergency context,INEE,Grant Proposal,Dandelion,Elizabeth Beasley,PI: Rachel Steinacher,8/3/2018,0,1,Tanzania,0,,8/3/2018
Nimble RCT for Dandelion,World Bank,Grant Proposal,Dandelion,Elizabeth Beasley,PI: Rachel Steinacher,8/24/2018,0,1,Tanzania,0,,8/24/2018
Tunakujenga RCT - DIV,United States Agency for International Development (USAID),Grant Proposal,Dandelion,Elizabeth Beasley,PI: Rachel Steinacher,3/29/2019,0,1,Tanzania,0,,3/29/2019
Tunakujenga RCT - Lego Learning through Play,LEGO Foundation,Grant Proposal,Dandelion,Elizabeth Beasley,PI: Rachel Steinacher,4/8/2019,0,1,Tanzania,0,,4/8/2019
IRC-20-10003 MRC-LSHTM-IRC-IPA Preventing Violence Against Children,International Rescue Committee (IRC),Grant Award,Preventing Violence Against Children,Karen Devries,"PI: Katherine Rodrigues , Rachel Steinacher 
PhD PI: Camilla Fabbri",9/18/2018,1,1,Tanzania,0,,2/27/2020
IRC-19-10001 Preventing Violence Against Children (PVAC) - Tanzania,International Rescue Committee (IRC),Grant Award,Preventing Violence Against Children,Karen Devries,"PI: Katherine Rodrigues , Rachel Steinacher 
PhD PI: Camilla Fabbri",8/31/2018,1,1,Tanzania,0,,5/6/2019
IRC0003 IRC-IPA Research and Learning Hub (Tanzania),International Rescue Committee (IRC),Grant Award,IRC-IPA Research and Learning Hub,Elizabeth Beasley,"PI: Rachel Steinacher , Karen Devries",12/10/2018,1,1,Tanzania,0,,12/10/2018
Proposal for MCC Threshold Program,Mathematica Policy Research,Grant Proposal,MCC Threshold Program,,,6/15/2018,0,1,Sierra Leone,0,,6/15/2018
"UNI-19-10004 UNICEF for Child Marriage Violence Against Children and FGM, Burkina Faso",United Nations Children's Fund (UNICEF),Grant Award,Child Marriage Violence Against Children and FGM,Lucia Corno,PI: Selim Gulesci,5/17/2019,1,1,Francophone West Africa,0,Allocation,8/28/2019
